name	score	category	group_label	label
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	83.1232065516626	group_prior_var	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	83.1232065516626	group_prior_var	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	83.1232065516626	group_prior_var	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
SNP	83.1232065516626	group_prior_var	All_Tissue_predixcan_predixcan_mashr_eqtl	SNP_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	-11.3109253517762	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	1.91427855243563	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	2.92738098998858	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	1.90166554217274	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	3.3265347005992	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	-15.0653397537796	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	3.88193969225403	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Spleen|predixcan_mashr_eqtl_eqtl	3.57649294268602	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	1.55142766973674	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	-4.54315745532845	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.902709909692226	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	3.09638258325871	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Liver|predixcan_mashr_eqtl_eqtl	4.99546890345622	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	2.67290431326264	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	3.22887635941526	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	2.90524112878606	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	2.34926874164869	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.941136544622553	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	-29.5095667608256	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	-9.77128715098096	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	3.21351546540664	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	2.908535593437	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	2.3222732786622	log_enrichment	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	484.015462053705	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.631461211781341	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	0.372682162514698	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.60702002346127	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.299321307892653	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	2994.71951521171	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.244492223025925	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.271192066360048	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.791950478750669	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	15.0486941356084	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.972107140689635	log_enrichment_se	All_Tissue_predixcan_predixcan_mashr_eqtl	gene_All_Tissue_predixcan_predixcan_mashr_eqtl
